FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;GPC_DOM;QRESIDUOS_DOM;QRESIDUOS_NO_DOM;QRESIDUOS_MUN;PERIODO
20230614;5593;10101;SELVA;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;29111;28215;896;0.47;4840.28;2074.41;6914.69;2017
20230614;5594;10102;SELVA;AMAZONAS;CHACHAPOYAS;ASUNCION;287;149;138;0.58;31.43;13.47;44.91;2017
20230614;5595;10103;SIERRA;AMAZONAS;CHACHAPOYAS;BALSAS;1641;304;1337;0.43;47.49;20.35;67.84;2017
20230614;5596;10104;SIERRA;AMAZONAS;CHACHAPOYAS;CHETO;590;384;206;0.43;59.99;25.71;85.7;2017
20230614;5597;10105;SIERRA;AMAZONAS;CHACHAPOYAS;CHILIQUIN;686;184;502;0.41;27.54;11.8;39.34;2017
20230614;5598;10106;SIERRA;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;2060;619;1441;0.51;115.23;49.38;164.61;2017
20230614;5599;10107;SELVA;AMAZONAS;CHACHAPOYAS;GRANADA;378;127;251;0.58;26.79;11.48;38.28;2017
20230614;5600;10108;SIERRA;AMAZONAS;CHACHAPOYAS;HUANCAS;1326;1317;9;0.43;205.74;88.18;293.92;2017
20230614;5601;10109;SELVA;AMAZONAS;CHACHAPOYAS;LA JALCA;5502;2421;3081;0.58;510.76;218.9;729.65;2017
20230614;5602;10110;SELVA;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;4197;1990;2207;0.23;167.06;71.6;238.66;2017
20230614;5603;10111;SIERRA;AMAZONAS;CHACHAPOYAS;LEVANTO;860;442;418;0.43;69.05;29.59;98.64;2017
20230614;5604;10112;SELVA;AMAZONAS;CHACHAPOYAS;MAGDALENA;780;616;164;0.58;129.96;55.7;185.65;2017
20230614;5605;10113;SELVA;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;984;474;510;0.58;100;42.86;142.86;2017
20230614;5606;10114;SIERRA;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;2744;722;2022;0.58;152.73;65.46;218.19;2017
20230614;5607;10115;SELVA;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;571;512;59;0.58;108.02;46.29;154.31;2017
20230614;5608;10116;SELVA;AMAZONAS;CHACHAPOYAS;OLLEROS;362;107;255;0.58;22.57;9.67;32.25;2017
20230614;5609;10117;SELVA;AMAZONAS;CHACHAPOYAS;QUINJALCA;828;127;701;0.58;26.79;11.48;38.28;2017
20230614;5610;10118;SELVA;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;350;265;85;0.58;55.91;23.96;79.87;2017
20230614;5611;10119;SELVA;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;702;485;217;0.58;102.32;43.85;146.17;2017
20230614;5612;10120;SELVA;AMAZONAS;CHACHAPOYAS;SOLOCO;1299;274;1025;0.58;57.81;24.77;82.58;2017
20230614;5613;10121;SELVA;AMAZONAS;CHACHAPOYAS;SONCHE;218;98;120;0.58;20.68;8.86;29.54;2017
20230614;5614;10201;SELVA;AMAZONAS;BAGUA;BAGUA ;26037;23101;2936;0.54;4553.21;1951.37;6504.58;2017
20230614;5615;10202;SELVA;AMAZONAS;BAGUA;ARAMANGO;10917;2536;8381;0.58;536.87;230.09;766.96;2017
20230614;5616;10203;SELVA;AMAZONAS;BAGUA;COPALLIN;6306;1908;4398;0.77;536.24;229.82;766.06;2017
20230614;5617;10204;SELVA;AMAZONAS;BAGUA;EL PARCO;1489;761;728;0.5;138.88;59.52;198.4;2017
